iter	Logloss
0	0.6187220747
1	0.5627569756
2	0.5243995267
3	0.492226744
4	0.4745023415
5	0.4540359973
6	0.4384626724
7	0.4226213062
8	0.4131943742
9	0.3958356368
10	0.3841779757
11	0.374766
12	0.3643340836
13	0.3573946153
14	0.3501857724
15	0.3430170735
16	0.3357981338
17	0.3290941763
18	0.3238273767
19	0.3177286866
20	0.3136100906
21	0.3079204594
22	0.3015042975
23	0.2969075654
24	0.2931414388
25	0.2881441867
26	0.2831636919
27	0.2787829236
28	0.274718158
29	0.2707901867
30	0.2666279166
31	0.2618677943
32	0.258058191
33	0.2555981108
34	0.2531279324
35	0.2507749552
36	0.2478288037
37	0.2454996788
38	0.243055693
39	0.240913137
40	0.2381518051
41	0.2351473218
42	0.2325062321
43	0.2298423702
44	0.2282078281
45	0.226678973
46	0.224770471
47	0.2225990644
48	0.2213597597
49	0.2199905877
50	0.218684125
51	0.2177736234
52	0.2159626774
53	0.2143431378
54	0.2128801703
55	0.2116479602
56	0.2104818496
57	0.2091506725
58	0.2078595866
59	0.2060698997
60	0.2047464054
61	0.2034668284
62	0.2021875651
63	0.2009195287
64	0.1988453776
65	0.1976529509
66	0.1960165335
67	0.1947967896
68	0.193707682
69	0.1925678016
70	0.1909393095
71	0.1900116522
72	0.1885567827
73	0.1874552505
74	0.1866961161
75	0.1856553365
76	0.1848496867
77	0.1838223111
78	0.1827918213
79	0.1819497596
80	0.1807888089
81	0.1797205896
82	0.1788297777
83	0.1778293301
84	0.1769789075
85	0.1758211074
86	0.1751083718
87	0.1739464165
88	0.173206654
89	0.1723203177
90	0.1713831364
91	0.1705660469
92	0.1694108931
93	0.1677338384
94	0.1667486376
95	0.1658779384
96	0.1648109782
97	0.1640755506
98	0.1632457976
99	0.162421728
100	0.1616033924
101	0.1610144148
102	0.1600196413
103	0.1592138449
104	0.1584989458
105	0.157339203
106	0.1565092419
107	0.1555945075
108	0.1549870996
109	0.1539993937
110	0.1533754544
111	0.1528123071
112	0.1524722431
113	0.1517157193
114	0.1511059478
115	0.1494824009
116	0.1490295782
117	0.1480635454
118	0.1471867034
119	0.1464675412
120	0.1455037485
121	0.1449846702
122	0.1444231044
123	0.143623595
124	0.1433505776
125	0.1427315781
126	0.1421090668
127	0.1415869137
128	0.1409231378
129	0.1402880776
130	0.1397962444
131	0.139353932
132	0.1391177111
133	0.1387769776
134	0.1384297291
135	0.1377616802
136	0.1372180814
137	0.1366249494
138	0.1365207106
139	0.1358400958
140	0.1351453777
141	0.1348382345
142	0.1344076257
143	0.1342633221
144	0.1336368615
145	0.1333009109
146	0.1326873305
147	0.1321067889
148	0.1314555671
149	0.1307335708
150	0.1304649443
151	0.130010946
152	0.1292654809
153	0.1287066196
154	0.1281449446
155	0.1280383719
156	0.1273254338
157	0.1270960586
158	0.1266830059
159	0.1262634667
160	0.1255940657
161	0.1251606229
162	0.1249888252
163	0.1248789302
164	0.1247956523
165	0.1246779025
166	0.1241319827
167	0.1236784539
168	0.1233090588
169	0.1226898208
170	0.1222234771
171	0.1219448415
172	0.1218689767
173	0.1216206862
174	0.1215652473
175	0.1214943718
176	0.1210555036
177	0.1206474837
178	0.1202749146
179	0.1198941954
180	0.1198404601
181	0.1192709357
182	0.1188245007
183	0.1187396545
184	0.118318382
185	0.1182552036
186	0.1178909376
187	0.1177814298
188	0.1172473541
189	0.1164940533
190	0.1163651743
191	0.1163185667
192	0.1160342841
193	0.115567594
194	0.1154462035
195	0.1146611916
196	0.1141810179
197	0.1138723037
198	0.1136085734
199	0.1132279243
200	0.1131231233
201	0.1127644758
202	0.1127129463
203	0.1123282036
204	0.1120271672
205	0.111962562
206	0.1119199366
207	0.1117170875
208	0.1112950178
209	0.1108785715
210	0.1108112805
211	0.1104735296
212	0.1102081235
213	0.1098818713
214	0.1094685775
215	0.109402013
216	0.1093627959
217	0.1088468169
218	0.1086653777
219	0.1082179601
220	0.107833036
221	0.1077802558
222	0.1074977977
223	0.1074606882
224	0.1074121854
225	0.1073453378
226	0.1073095143
227	0.1068547516
228	0.1066575677
229	0.1066099986
230	0.1062329849
231	0.1058859989
232	0.1057867204
233	0.1053580717
234	0.1052876968
235	0.1048792964
236	0.1047130453
237	0.1044423669
238	0.1041797145
239	0.104146568
240	0.1038184894
241	0.1034818316
242	0.1033486598
243	0.1030796991
244	0.1027786799
245	0.1026736586
246	0.1023051951
247	0.1022379783
248	0.1019760137
249	0.1019300316
250	0.101688277
251	0.101644761
252	0.1012756711
253	0.1011976569
254	0.1011111084
255	0.1008513578
256	0.1004055251
257	0.1000472803
258	0.09999686042
259	0.09965230989
260	0.09957984004
261	0.09951920626
262	0.09948295377
263	0.09928245873
264	0.09925011392
265	0.0990168302
266	0.09898704995
267	0.09879151424
268	0.09858649965
269	0.09854000436
270	0.09840961788
271	0.098066533
272	0.09803788633
273	0.09782228957
274	0.09766458401
275	0.09762083406
276	0.09720757807
277	0.09715827111
278	0.09673384934
279	0.09669565155
280	0.09653192164
281	0.09646094958
282	0.09640923368
283	0.09616872665
284	0.09590957334
285	0.0958317234
286	0.09579201782
287	0.09574465355
288	0.09571650247
289	0.09565520727
290	0.09529133458
291	0.09509780317
292	0.09485551813
293	0.09478773741
294	0.094585437
295	0.09426655113
296	0.09423888738
297	0.09417842684
298	0.09400312452
299	0.09385409835
